"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."
"When using BacDive for research please cite our paper https://doi.org/10.1093/nar/gkae959"

ID,designation_header,strain_number_header,is_type_strain_header,species,domain,"Oxygen tolerance","INSDC genome accesion","BV-BRC genome accession","IMG genome accession"
17248,398,"DSM 507, ATCC 7744, JCM 18803, NCMB 1281, CCUG 13450, CAIM 329, LMG 4414, CIP 103206, NCCB 80039, BCRC 12900, CCUG 16305, CECT 524, CIP 75.08, CIP 75.8, KCTC 12272, KCTC 12386, NCIMB 1281, NRRL B-41164, NRRL B-761",1,"Aliivibrio fischeri",Bacteria,"facultative anaerobe",GCA_001312625,1298605.61,2734481910
,,,,,,,GCA_016464335,668.164,8117762056
442,MS1,"DSM 24035, JCM 15561, KCTC 22429, CGMCC 1.10666",1,"Alishewanella jeotgali",Bacteria,"facultative anaerobe",GCA_000245735,1129374.4,2513237355
1277,CG-15,"DSM 18086, CCM 7371, CECT 7153, CGMCC 1.6292, CIP 109712",1,"Alkalicoccus chagannorensis",Bacteria,"facultative anaerobe",GCA_000429725,1121087.3,2524614595
22921,,"DSM 26767, CGMCC 1.10369, DLS 13, JCM 17097, NBRC 107572",1,"Alkalicoccus daliensis",Bacteria,"facultative anaerobe",GCA_900103955,745820.3,2617270767
4267,MLHE-1,"DSM 17681, ATCC BAA-1101",1,"Alkalilimnicola ehrlichii",Bacteria,"facultative anaerobe",GCA_000014785,187272.10,637000005
1767,,"DSM 21503, CCUG 31649, LMG 23792, CIP 109610",1,"Alloscardovia omnicolens",Bacteria,"facultative anaerobe",GCA_000420505,1120979.4,2523533599
158561,C9-11,"MCCC 1K03311, JCM 32056",1,"Tsuneonella mangrovi",Bacteria,"facultative anaerobe",GCA_002269345,1982042.3,2757321001
130151,"H 17, H17","DSM 27080, CIP 109921, KMM 6016",1,"Alteromonas australica",Bacteria,"facultative anaerobe",GCA_000730385,589873.3,2585427644
447,"ANT69a, R-15466","DSM 15691, LMG 21861, CIP 108513, ANT 69a",1,"Alteromonas stellipolaris",Bacteria,"facultative anaerobe",GCA_001562115,233316.3,2687453500
23153,IGB-41,"DSM 23761, CIP 110167, CIP 110334",1,"Amantichitinum ursilacus",Bacteria,"facultative anaerobe",GCA_001294205,857265.4,2648501275
132587,CC-RT-E,"DSM 24738, BCRC 80314",1,"Ammoniphilus resinae",Bacteria,"facultative anaerobe",GCA_017873965,861532.3,2913422633
1408,JW/BP-GSL-QD,"DSM 23721, ATCC BAA-2118, NBRC 11149",1,"Amphibacillus cookii",Bacteria,"facultative anaerobe",GCA_016908375,767787.3,2901114716
1407,Y1,"DSM 24783, CGMCC 1.5123, JCM 16149",1,"Amphibacillus jilinensis",Bacteria,"facultative anaerobe",GCA_000306965,562743.4,2547132169
1406,Shu-P-Ggiii25-2,"DSM 21624, IAM 15428, JCM 23213, KCTC 13120, MBIC 08269, NBRC 103570",1,"Amphibacillus sediminis",Bacteria,"facultative anaerobe",GCA_001552275,1220586.4,2731957578
1403,Ep01,"DSM 6626, ATCC 51415, IFO 15112, JCM 7361, NBRC 15112, LMG 17667",1,"Amphibacillus xylanus",Bacteria,"facultative anaerobe",GCA_000307165,698758.3,2524023219
134369,,"JCM 14781, ATCC BAA-1529, JAMM 1525",1,"Amphritea balenae",Bacteria,"facultative anaerobe",GCA_003858655,452629.3,2881762279
,,,,,,,GCA_014646975,452629.5,8064785161
134368,,"JCM 14782, ATCC BAA-1530, JAMM 1866",1,"Amphritea japonica",Bacteria,"facultative anaerobe",GCA_000381785,1278309.3,2519899692
,,,,,,,GCA_016592435,1278309.7,8065029779
,,,,,,,GCA_024347275,452627.3,8064789400
166509,ANRC-JH13,"MCCC 1K03512, KCTC 62532",1,"Amphritea opalescens",Bacteria,"facultative anaerobe",GCA_003957515,2490544.3,2882759153
13254,1BDZ,"DSM 44832, AS 4.1729, PCM 2600, JCM 12460, CGMCC 4.1729, CIP 108399",1,"Amycolatopsis palatopharyngis",Bacteria,"facultative anaerobe",GCA_003385185,187982.4,2866120936
