,PF05721.19,PF00115.25,PF01152.27,PF08530.16,PF00042.28,PF02906.19,PF00916.26,PF17773.7,PF05425.18,PF01521.26,PF03063.25,PF13597.11,PF00116.26,PF16870.10,PF02579.22,PF17910.6,PF10371.14,PF00296.26,PF01871.22,PF00510.24,Oxygen2
5172,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
2505,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
2101,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0
5366,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
855,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1
1063,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1
1737,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0
4838,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0
4164,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0
3594,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
1829,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
4841,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0
4125,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
3141,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
4245,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
1423,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
3824,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
4330,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
1793,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
5025,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1
2796,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0
5007,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1
1498,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1
1165,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1
2521,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
1519,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2990,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0
1158,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
3236,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1
4003,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
4020,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0
3755,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1
4295,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
4209,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
4482,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0
3681,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
2289,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
3393,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1
998,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1
2429,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0
2704,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
4179,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1
3526,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0
4805,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0
3787,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
1991,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
3902,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
