,sample_idx,true_class,PF05721.19,PF00115.25,PF01152.27,PF08530.16,PF00042.28,PF02906.19,PF00916.26,PF17773.7,PF05425.18,PF01521.26,PF03063.25,PF13597.11,PF00116.26,PF16870.10,PF02579.22,PF17910.6,PF10371.14,PF00296.26,PF01871.22,PF00510.24
3495,46,0,0.32051007415766797,-0.043574476721177424,-0.31159661593515775,-0.13162349930637648,-0.25729963125416105,-0.06333972395919545,-0.07111104011264,0.15854584668657043,-0.06362682063846878,-0.06002217955826811,-0.15267474570049522,-0.35042469092496825,-0.06780860803357927,-0.20110255836959864,-0.047843460043731446,-0.1297210668260593,-0.209164528347643,-0.2490556409528323,-0.10726980510539268,-0.4899175957393152
3884,47,0,0.2516385758685055,-0.039241914401854344,-0.09792175756166589,-0.005578783233125502,0.09788469867056675,-0.07226345651745966,-0.044946082222645206,-0.36803950374388483,-0.061976842986095175,-0.05881276422210954,-0.1701407575178546,-0.5650507038936888,-0.05550155222414752,-0.15129264269106152,-0.03766007819632423,-0.13309668054850013,-0.19084956888240892,-0.15747493548144845,-0.10580655212617768,-0.34416016549202055
1786,48,0,-0.43017827874899434,-0.038596139854475436,-0.08863495298001946,-0.052470771483530375,0.11772400422259223,-0.072616746602246,-0.05137428840264271,-0.2225235943915095,-0.058425785326330935,-0.08184477726258105,-0.1759979773518809,-0.3171931034539656,-0.04427505052103608,-0.16729147507937422,-0.07572338111229387,-0.13046250744052978,-0.12692091895348875,-0.21085597161692363,-0.07589019410669971,-0.33473246081029434
3683,49,0,0.2177882152536147,-0.03242280424267323,-0.20214667385394813,0.05041783477703058,-0.06231698212605974,-0.07993283170051214,0.11450389673727378,-0.3800368594319397,-0.06630071669117528,-0.0479254748545603,-0.15206862332528284,-0.5806077240969582,-0.06294494342179725,-0.14457597297662658,-0.0722977608029344,-0.11769599235380102,-0.16646021129873503,-0.19404522212454015,-0.11986359465369688,-0.3709012273568478
529,50,0,-0.5763967527103321,-0.041127785831447106,-0.2912481612073747,-0.14728433340605354,-0.2384760744648012,-0.07090429878071756,-0.07282358521558482,0.0107490410195066,-0.05898537342807622,-0.06990166843964109,-0.17250789038554484,-0.2945484247957368,-0.056843725491086954,-0.20281763075493767,-0.07919982604901118,-0.1317079839482508,-0.1616707681228845,-0.2995982955456887,-0.07998316398201764,-0.47195758698798124
1975,51,0,-0.6263150884048828,-0.03576248179139873,0.20841932604052302,-0.11635706898955518,-0.18329715737506433,-0.07564370820700252,-0.10552668216791927,0.20754215562491596,-0.07156645376316488,-0.07326080257986857,-0.14352875635566884,-0.2708866127457682,-0.06975494384816246,-0.23364624570952466,-0.17084864732447777,-0.13829292907906388,-0.20515521728015804,-0.3165485227721299,-0.07960820708805104,-0.4285986006571117
2673,52,0,-0.4337630781276865,-0.03888140276546696,-0.09536338912153593,-0.05320998852570764,0.12080112711093803,-0.07499929365398293,-0.05658926583591462,-0.22349067540647316,0.040122910772279474,-0.08245877366520166,-0.17135900676462504,-0.31798323533184664,-0.04565648033382663,-0.17337871978488592,-0.07447885344191392,-0.13827278119418615,-0.13699108109778282,-0.21412471765721827,-0.07872333707020897,-0.4209408927697442
2484,53,0,0.23419485267406578,-0.06837167668273819,-0.3928480339091935,-0.10806926216396523,-0.2278691902010245,-0.13283022397088046,-0.131466357702351,-0.49470558661992015,-0.05840745304129857,-0.0431106338558914,-0.1647441392464119,-0.3723324599570787,0.13138457381555507,0.5594298569066378,0.28286113464307844,-0.12457518584566608,-0.12926240471241057,-0.3947749452601303,-0.1093261361879621,-0.35941558245625677
1745,54,0,-0.44583499928799486,-0.04886465302433717,-0.03562880790642214,0.17981603939526936,-0.14124928027724207,-0.060303895554184465,-0.08584825953257434,-0.1422827661210049,-0.055525097598894485,-0.07429290001356904,-0.17252197665283062,0.8196459068062447,-0.04749502151568277,-0.15490149350877178,-0.04902322212247532,-0.04587005618367193,-0.11500217069036002,-0.2161584582869223,-0.06804121690165732,-0.35469397308670025
4196,55,0,0.3208418150243449,-0.04366294694475196,0.07983312195878713,-0.04150132443697699,0.044826208517310645,-0.07802418967101592,-0.11916508108133117,-0.43861175070504466,-0.0742131764974356,-0.06207644901790659,-0.13739414971180144,-0.5292436721115206,-0.07553599428955586,-0.19226659209754202,-0.055268833561575664,-0.12704633589655928,-0.1709497875488614,-0.18373475432188802,-0.10453825891930969,-0.32887821494671726
